1,2007,1,cust1,XXX XXXXX XXXX XXX,United Kingdom,customer1@hotmail.com,555-5555
2,2007,1,cust2,XXX XXXXX XXXX XXX,United Kingdom,customer2@hotmail.com,555-5555
3,2007,1,cust3,XXX XXXXX XXXX XXX,United Kingdom,customer3@hotmail.com,555-5555
4,2007,1,cust4,XXX XXXXX XXXX XXX,United Kingdom,customer4@hotmail.com,555-5555
5,2007,1,cust5,XXX XXXXX XXXX XXX,United Kingdom,customer5@hotmail.com,555-5555
6,2007,1,cust6,XXX XXXXX XXXX XXX,United Kingdom,customer6@hotmail.com,555-5555
7,2007,1,cust7,XXX XXXXX XXXX XXX,United Kingdom,customer7@hotmail.com,555-5555
8,2007,1,cust8,XXX XXXXX XXXX XXX,United Kingdom,customer8@hotmail.com,555-5555
9,2007,1,cust9,XXX XXXXX XXXX XXX,United Kingdom,customer9@hotmail.com,555-5555
10,2007,1,cust10,XXX XXXXX XXXX XXX,United Kingdom,customer10@hotmail.com,555-5555
11,2007,1,cust11,XXX XXXXX XXXX XXX,United Kingdom,customer11@hotmail.com,555-5555
12,2007,1,cust12,XXX XXXXX XXXX XXX,United Kingdom,customer12@hotmail.com,555-5555
13,2007,1,cust13,XXX XXXXX XXXX XXX,United Kingdom,customer13@hotmail.com,555-5555
14,2007,1,cust14,XXX XXXXX XXXX XXX,United Kingdom,customer14@hotmail.com,555-5555
15,2007,1,cust15,XXX XXXXX XXXX XXX,United Kingdom,customer15@hotmail.com,555-5555
16,2007,1,cust16,XXX XXXXX XXXX XXX,United Kingdom,customer16@hotmail.com,555-5555
17,2007,1,cust17,XXX XXXXX XXXX XXX,United Kingdom,customer17@hotmail.com,555-5555
18,2007,1,cust18,XXX XXXXX XXXX XXX,United Kingdom,customer18@hotmail.com,555-5555
19,2007,1,cust19,XXX XXXXX XXXX XXX,United Kingdom,customer19@hotmail.com,555-5555
20,2007,1,cust20,XXX XXXXX XXXX XXX,United Kingdom,customer20@hotmail.com,555-5555
21,2007,1,cust21,XXX XXXXX XXXX XXX,United Kingdom,customer21@hotmail.com,555-5555
22,2007,1,cust22,XXX XXXXX XXXX XXX,Russia,customer22@hotmail.com,555-5555
